date,source,market,stock_id,available_volume,susp_margin_short,susp_sbl_short,no_below_flat
2026-09-03,TWT96U,twse,1220,28540,,,
2026-09-03,TWT96U,tpex,3441,2679992,,,
2026-09-03,TWT96U,twse,1227,342452,,,
2026-09-03,TWT96U,tpex,3444,123816,,,
2026-09-03,TWT96U,twse,1229,701176,,,
2026-09-03,TWT96U,tpex,3455,580452,,,
2026-09-03,TWT96U,twse,1231,127199,,,
2026-09-03,TWT96U,tpex,3465,8793,,,
2026-09-03,TWT96U,twse,1232,68053,,,
2026-09-03,TWT96U,tpex,3466,55044,,,
2026-09-03,TWT96U,twse,1233,7152,,,
2026-09-03,TWT96U,tpex,3467,22522,,,
2026-09-03,TWT96U,twse,1234,36279,,,
2026-09-03,TWT96U,tpex,3479,473787,,,
2026-09-03,TWT96U,twse,1235,6012,,,
2026-09-03,TWT96U,tpex,3483,87016,,,
2026-09-03,TWT96U,twse,1236,29261,,,
2026-09-03,TWT96U,tpex,3484,97665,,,
2026-09-03,TWT96U,twse,1256,28188,,,
2026-09-03,TWT96U,tpex,3485,54654,,,
2026-09-03,TWT96U,twse,1301,11656864,,,
2026-09-03,TWT96U,tpex,3489,128539,,,
2026-09-03,TWT96U,twse,1303,30218694,,,
2026-09-03,TWT96U,tpex,3490,1261494,,,
2026-09-03,TWT96U,twse,1304,1122744,,,
